"V1","V2"
1,97
1,100
1,122
1,128
1,155
1,189
2,46
2,49
2,52
2,64
2,69
2,174
2,189
3,36
4,7
4,81
4,162
6,16
6,110
6,232
7,221
7,246
8,28
8,88
8,159
8,184
8,197
8,231
8,243
9,46
9,126
9,171
10,48
10,128
10,134
10,185
10,231
11,19
11,21
11,26
11,66
11,78
11,139
11,174
12,36
12,49
12,97
12,112
12,127
12,174
12,189
12,206
13,201
15,26
15,54
15,56
15,66
15,69
15,113
15,135
15,174
17,4
17,81
17,162
17,242
17,248
19,11
19,14
19,21
19,149
19,202
19,228
21,11
21,19
21,39
21,74
21,170
23,82
23,97
23,101
23,175
23,213
24,69
24,82
24,124
24,126
24,154
24,158
24,175
24,177
24,218
25,24
25,158
25,166
25,223
25,235
26,12
26,66
26,101
26,113
26,128
26,139
26,145
26,219
26,246
28,57
28,89
28,159
28,200
28,210
28,225
28,243
29,99
29,188
30,12
30,40
30,50
30,70
30,82
30,97
30,113
30,124
30,155
30,156
31,57
31,161
31,169
31,178
31,243
32,9
32,18
32,30
32,40
32,46
32,187
32,199
32,220
32,230
32,248
33,65
33,69
33,134
33,141
35,32
35,46
35,198
36,49
36,100
36,117
36,125
36,146
36,175
36,189
37,30
37,131
37,223
38,23
38,60
38,92
38,98
38,104
38,125
38,173
38,179
38,186
38,195
38,208
38,213
38,218
38,222
39,134
39,139
40,30
40,42
40,97
40,113
40,143
40,151
40,156
40,235
40,236
41,56
41,84
41,87
41,159
41,178
41,198
41,201
41,225
42,21
42,32
42,40
42,46
42,52
42,69
42,82
42,100
42,117
42,122
42,127
42,131
42,171
42,174
42,177
42,187
42,240
43,83
46,18
46,32
46,40
46,55
46,64
46,138
46,144
46,151
46,154
46,187
46,189
46,248
47,20
47,26
47,45
47,149
47,164
47,226
48,15
48,47
48,49
48,58
48,117
48,123
48,189
48,197
49,2
49,4
49,47
49,48
49,58
49,127
49,190
49,194
49,197
49,202
50,30
50,78
50,112
50,147
50,176
52,126
53,39
53,146
53,174
54,57
54,230
54,239
55,36
55,64
55,69
55,97
55,98
55,131
55,142
55,154
55,175
55,192
55,193
55,247
56,12
56,15
56,30
56,35
56,48
56,58
56,109
56,113
