"sex","age","numgiven","sex1","talkto1","sex2","talkto2","sex3","talkto3","sex4","talkto4","sex5","talkto5","close12","close13","close14","close15","close23","close24","close25","close34","close35","close45","mntlhlth","health1"
"female","52","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","43","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","52","4","female","lt once a month","female","almost daily","male","once a week","male","once a week",NA,NA,"know each other","especially close","total strangers",NA,"especially close","especially close",NA,"know each other",NA,NA,"0",NA
"female","34","4","female","almost daily","male","almost daily","female","almost daily","female","almost daily",NA,NA,"especially close","total strangers","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,"1","very good"
"male","22","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO ANSWER","very good"
"male","26","6","female","almost daily","female","almost daily","male","almost daily","female","once a month","female","almost daily","total strangers","especially close","know each other","know each other","know each other","know each other","know each other","especially close","especially close","especially close","15",NA
"male","74","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","58","2","female","once a week","female","once a week",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","very good"
"male","32","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","very good"
"male","48","2","male","once a week","female","once a week",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","39","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","38","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","excellent"
"male","29","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","good"
"female","67","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO ANSWER",NA
"male","57","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poor"
"female","55","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"female","35","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
"male","73","3","male","lt once a month","male","once a month","male","almost daily",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,NA,"very good"
"male","68","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","47","3","male","almost daily","female","almost daily","female","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"NO ANSWER","excellent"
"female","58","6","female","almost daily","female","once a week","female","once a month","male","once a month","male","once a week","know each other","know each other","know each other","especially close","know each other","know each other","know each other","especially close","know each other","know each other","NO ANSWER",NA
"male","29","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","55","3","male","once a week","female","almost daily","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"30",NA
"male","33","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","26","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA
"male","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","37","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","excellent"
"male","49","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA
"male","23","1","male","once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","47","3","male","almost daily","male","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"know each other",NA,NA,NA,NA,NA,"2","good"
"female","55","4","male","almost daily","female","once a week","male","lt once a month","male","once a month",NA,NA,"especially close","know each other","know each other",NA,"know each other","know each other",NA,"know each other",NA,NA,"0",NA
"male","74","1","male","lt once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","good"
"male","49","2","female","almost daily","male","lt once a month",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA
"male","40","2","male","once a week","male","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","very good"
"female","40","3","male","almost daily","female","almost daily","male","once a month",NA,NA,NA,NA,"know each other","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"male","55","2","male","almost daily","male","once a week",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","48","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","57","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"female","59","4","female","once a month","male","once a week","female","almost daily","male","once a month",NA,NA,"especially close","especially close","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,"5",NA
"female","38","2","male","once a month","female","once a month",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","very good"
"female","33","3","female","almost daily","female","almost daily","male","almost daily",NA,NA,NA,NA,"total strangers","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"30",NA
"female","45","2","female","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excellent"
"female","41","4","female","almost daily","male","almost daily","male","once a month","female","almost daily",NA,NA,"especially close","know each other","especially close",NA,"total strangers","especially close",NA,"especially close",NA,NA,"5",NA
"female","57","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","66","5","male","lt once a month","male","lt once a month","male","lt once a month","male","once a month","male","once a month","especially close","especially close","total strangers","total strangers","especially close","total strangers","total strangers","total strangers","total strangers","especially close",NA,NA
"female","30","3","male","almost daily","male","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"male","48","6","male","once a week","male","once a month","male","once a week","male","once a week","male","once a week","especially close","especially close","especially close","know each other","especially close","especially close","total strangers","know each other","total strangers","total strangers","4","very good"
"male","32","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
